"Item","Fq","Concordance","Ventilation","Carte","Sélection"
"구매","5","","","",""
"마지막으로","5","","","",""
"시작하는","5","","","",""
"구체적인","5","","","",""
"외부","5","","","",""
"프랑스","5","","","",""
"to","5","","","",""
"못했다","5","","","",""
"비교해","5","","","",""
"대체로","5","","","",""
"나왔다","5","","","",""
"높게","5","","","",""
"설명했다","5","","","",""
"”라는","5","","","",""
"나서","5","","","",""
"질문에","5","","","",""
"적어도","5","","","",""
"기본적으로","5","","","",""
"감정을","5","","","",""
"읽다","5","","","",""
"인생에서","5","","","",""
"1만","5","","","",""
"즐기는","5","","","",""
"이건","5","","","",""
"가능한","5","","","",""
"본인의","5","","","",""
"있을까","5","","","",""
"열심히","5","","","",""
"어렵게","5","","","",""
"배우는","5","","","",""
"세상에","5","","","",""
"당신은","5","","","",""
"당신이","5","","","",""
"접하는","5","","","",""
"문제에","5","","","",""
"나면","5","","","",""
"경제","5","","","",""
"없었다","5","","","",""
"중심으로","5","","","",""
"09","5","","","",""
"00","5","","","",""
"채","5","","","",""
"원래","5","","","",""
"지식의","5","","","",""
"한다고","5","","","",""
"쌓기","5","","","",""
"모두가","5","","","",""
"지식은","5","","","",""
"아니지만","5","","","",""
"읽을수록","5","","","",""
"간접","5","","","",""
"보이는","5","","","",""
"단어","5","","","",""
"이상으로","5","","","",""
"문자","5","","","",""
"된다는","5","","","",""
"생각보다","5","","","",""
"있었던","5","","","",""
"마음이","5","","","",""
"해요","5","","","",""
"분명","5","","","",""
"놓은","5","","","",""
"뭔가","5","","","",""
"이유다","5","","","",""
"아니고","5","","","",""
"접하게","5","","","",""
"글이","5","","","",""
"아래","5","","","",""
"첫째","5","","","",""
"목소리가","5","","","",""
"읽자","5","","","",""
"언제든","5","","","",""
"밑줄을","5","","","",""
"돈을","5","","","",""
"내게","5","","","",""
"공유","5","","","",""
"“책은","5","","","",""
"동영상","5","","","",""
"않고","5","","","",""
"스마트폰을","5","","","",""
"으로","5","","","",""
"시","5","","","",""
"방법으로","5","","","",""
"어쩌다","5","","","",""
"읽기는","5","","","",""
"읽을까","5","","","",""
"일본","5","","","",""
"생각의","5","","","",""
"책이란","5","","","",""
"책추천","5","","","",""
"리뷰","5","","","",""
"‘왜","5","","","",""
"기사공유하기","5","","","",""
"즐길","5","","","",""
"부분을","5","","","",""
"것이고","5","","","",""
"강조한다","5","","","",""
"법","5","","","",""
"언제나","5","","","",""
"형성에","5","","","",""
"다른기사","5","","","",""
"발명된","5","","","",""
"있음을","5","","","",""
"png","5","","","",""
"작가와의","5","","","",""
"지식이","5","","","",""
"이것은","5","","","",""
"본래","5","","","",""
"가지게","5","","","",""
"나라의","5","","","",""
"나올","5","","","",""
"나라","5","","","",""
"인터넷에서","5","","","",""
"사용하는","5","","","",""
"고령층","5","","","",""
"국민독서실태조사","5","","","",""
"독서문화","5","","","",""
"연재","5","","","",""
"때부터","5","","","",""
"그동안","5","","","",""
"답했습니다","5","","","",""
"최소","5","","","",""
"바로가기","5","","","",""
"독서가의","5","","","",""
"말이","5","","","",""
"독후감","5","","","",""
"없다는","5","","","",""
"죽을","5","","","",""
"종이","5","","","",""
"img","5","","","",""
"시작합니다","5","","","",""
"오늘","5","","","",""
"저도","5","","","",""
"가치","5","","","",""
"하나는","5","","","",""
"후에","5","","","",""
"하나가","5","","","",""
"계속","5","","","",""
"우린","5","","","",""
"소식","5","","","",""
"시절","5","","","",""
"즐거움이","5","","","",""
"사실상","5","","","",""
"엄청난","5","","","",""
"있죠","5","","","",""
"어렵습니다","5","","","",""
"아이들에게","5","","","",""
"세계를","5","","","",""
"아무래도","5","","","",""
"늘어난","5","","","",""
"인류가","5","","","",""
"아이에게","5","","","",""
"부모와","5","","","",""
"아침","5","","","",""
"아이들의","5","","","",""
"수준의","5","","","",""
"남한","5","","","",""
"앉아","5","","","",""
"호모","5","","","",""
"최고의","5","","","",""
"도서지원제도","5","","","",""
"젊은이들의","5","","","",""
"무제한","5","","","",""
"Q","5","","","",""
"서점에서","5","","","",""
"여행","5","","","",""
"자유롭게","5","","","",""
"자신을","5","","","",""
"바른","5","","","",""
"철학","5","","","",""
"문화를","5","","","",""
"좋겠습니다","5","","","",""
"읽어봐야","5","","","",""
"독서목록","5","","","",""
"9월","5","","","",""
"울프는","5","","","",""
"되지요","5","","","",""
"계절","5","","","",""
"찾은","5","","","",""
"“죽을","5","","","",""
"배우","5","","","",""
"읽었습니다","5","","","",""
"하느라","5","","","",""
"층","5","","","",""
"지미준","5","","","",""
"35","4","","","",""
"36","4","","","",""
"38","4","","","",""
"39","4","","","",""
"62","4","","","",""
"68","4","","","",""
"87","4","","","",""
"89","4","","","",""
"90","4","","","",""
"반응형","4","","","",""
"시대가","4","","","",""
"않는다고","4","","","",""
"머리가","4","","","",""
"들지","4","","","",""
"않아서","4","","","",""
"도서관이","4","","","",""
"비율","4","","","",""
"시작한","4","","","",""
"3권으로","4","","","",""
"8권","4","","","",""
"전보다","4","","","",""
"부족하다고","4","","","",""
"공부","4","","","",""
"제일","4","","","",""
"출판","4","","","",""
