"Item","Fq","Concordance","Ventilation","Carte","Sélection"
"공감수","10","","","",""
"명문장","10","","","",""
"나라의","10","","","",""
"읽다","10","","","",""
"상황에서","10","","","",""
"reding","10","","","",""
"어린","10","","","",""
"true","10","","","",""
"국회·정당","10","","","",""
"강원","10","","","",""
"자동차","10","","","",""
"해외토픽","10","","","",""
"창","10","","","",""
"전화는","10","","","",""
"이태원서","10","","","",""
"떠난","10","","","",""
"필요","10","","","",""
"시인","10","","","",""
"대전","10","","","",""
"최고","10","","","",""
"뉴스레터를","10","","","",""
"인스타그램","10","","","",""
"읽었다고","10","","","",""
"따로","10","","","",""
"자연스럽게","10","","","",""
"이건","10","","","",""
"깊게","10","","","",""
"내용이","10","","","",""
"세상이","10","","","",""
"공부를","10","","","",""
"책이다","10","","","",""
"읽는다고","10","","","",""
"관점에서","10","","","",""
"본다","10","","","",""
"부모가","10","","","",""
"이해하고","10","","","",""
"때도","10","","","",""
"뭐","10","","","",""
